ID,image_url,Original_Post,Topic_ID_Reg,Keywords_Regular_Topic,Topic_Name_Regular,Topic_ID_Enr,Keywords_Enriched_Topic,Topic_Name_Enriched
A125,https://pbs.twimg.com/media/HAJVHx3WsAADr4w.jpg,Number of Champions League trophies Chelsea Men Women 2 Arsenal Men Women 2 Number of Club World Cup trophies Chelsea Men Women 1 Arsenal Men Women 1 Number of Premier League titles Chelsea Men 6 Arsenal Men 13 Arsenal football club is the one and only true pride of London.,25,"world, war, places, capitalism, cause, worst, military, united, mentions, predicted",Global War Theories & Anti-Capitalism & Ideological Discourse,15,"united, jordan, yemen, bahrain, kuwait, qatar, conflict, war, arab, arabia","  Arab State Alliances & Regional Geopolitics   (Jordan, Yemen, Gulf)"
A137,https://pbs.twimg.com/media/HABHMnSbgAA-LOC.jpg,Chomsky to child rapist Epstein Im sorry people are being mean to you,0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran,28,"saudi, arabia, condemns, attack, prince, qatar, kuwait, strongly, crown, foreign",GCC Condemnations & Saudi Foreign Policy
A139,https://pbs.twimg.com/media/HAHpRSOWcAAK8OO.jpg,He had made his point clearly many times before But apparently he took the lives of tens of thousands of people to get a nuclearfree agreement from the Ayatollahs regime IranMassacre NoDealWithAyatollahs,9,"khamenei, killed, leader, supreme, ali, ayatollah, death, reports, khameneis, israeli",Rumors & Reports on Khamenei's Health/Death,4,"trump, president, donald, iran, war, military, america, congress, trumps, attack",US Politics & Trump's Stance on Iran
A152,https://pbs.twimg.com/media/HAJb96FXsAA7D7q.jpg,What will you invest your first 100 million in 1. Gold 2. SampP 500 stocks 3. Real Estate 4. Bitcoin crypto,18,"bitcoin, crypto, btc, price, chart, gold, market, showing, fear, stack",Bitcoin & Cryptocurrency Market,12,"gold, price, xauusd, chart, rally, spot, dollar, market, silver, central",Gold & Precious Metals Market Analysis
A179,https://pbs.twimg.com/media/G_7QJlcXcAATblI.jpg,الأنظمة الوظيفية فاقدة لسيادتها وقرارها ليس لها غير تنفيذ ما يطلب منها دون نقاش ومثل هذه الأنظمة لا يهمها شعوبها بقدر ما يعنيها البقاء والاستمرار حتى لو أدى ذلك لمزيد من التنازلات التي اعتادت عليها العديد من الأنظمة,7,"water, nile, theme, climate, ethiopia, cooperation, eritrea, sea, autonomy, partnerships",Regional Cooperation & Nile Water Issues,0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran
A198,https://pbs.twimg.com/media/HBMyC62WYAAG3NU.jpg,חיילים נפלו כי חתרני השמאל פעלו שממשל ביידן לא ימכור נשק והם אחראים לפשעים,14,"lincoln, abraham, uss, carrier, aircraft, missiles, strike, ballistic, irgc, group",USS Abraham Lincoln Carrier Group & Strikes,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
A213,https://pbs.twimg.com/media/HAYPAbsWEAAS1-X.png,יריב לוין עסוק במלחמה שלו לא מענין אותו שהאזרח הפשוט יפגע,25,"world, war, places, capitalism, cause, worst, military, united, mentions, predicted",Global War Theories & Anti-Capitalism & Ideological Discourse,4,"trump, president, donald, iran, war, military, america, congress, trumps, attack",US Politics & Trump's Stance on Iran
A216,https://pbs.twimg.com/media/HAKZ_64WkAAqu17.jpg,"Everything you know about China, Russia, Venezuela, Iran, N. Korea, Syria, Libya, Burkina Faso, Mali, Niger, Bolivia, etc., etc... ..you were taught by the murderous, child raping and in some cases even cannibalistic Epstein aligned elites. Everything you know has been lies.",29,"school, girls, minab, strike, children, سپاه, irgc, schools, پاسداران, killed",Attacks on Schools & IRGC Repression in Iran,7,"water, nile, theme, climate, ethiopia, cooperation, eritrea, sea, autonomy, partnerships",Regional Cooperation & Nile Water Issues
A220,https://pbs.twimg.com/media/HAMRJCtW0AALdGK.jpg,April 2021 President Xi has once again stated his intentions to reunify China by any means in the wake of Americas sudden strikes in Syria and Iran and President Tulsis unexpected shift toward intervention following the fall of Assad and Irans nuclear program progression,22,"nuclear, korea, north, kim, jong, weapons, iran, join, korean, program",North Korean & Iranian Nuclear Programs,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
A231,https://pbs.twimg.com/media/HAKWFS4XYAAAemm.jpg,Israel Iran Javid Shah,1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War,16,"israel, iran, اسرائیل, war, stand, ایران, ہیں, poll, people, mercy",Public Opinion Polls: Iran-Israel Conflict
A234,https://pbs.twimg.com/media/HAV0Pw_XsAAWOQh.jpg,American soldier protecting Rojava USA Syria kurdistan Rojava BijiKurdi,14,"lincoln, abraham, uss, carrier, aircraft, missiles, strike, ballistic, irgc, group",USS Abraham Lincoln Carrier Group & Strikes,17,"base, drones, bahrain, riyadh, embassy, hit, missiles, kuwait, iranian, missile",Military Base Attacks & Missile Strikes (Gulf)
A246,https://pbs.twimg.com/media/HAGsSTkXIAAszj2.jpg,its come to this i prayed to Netanyahu for a banger tweet and didnt get one now its personal prepare for my arrival aviv26,0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran,24,"evacuation, lebanon, southern, villages, towns, idf, jbeil, bint, tyre, residents",Southern Lebanon Evacuations & IDF Operations
A249,https://pbs.twimg.com/media/HAYWpjfaQAAnfDI.jpg,"BREAKING Irans previously known radar, destroyed by Israel, is now active again after being rebuilt.",34,"dome, iron, arrow, interceptions, missiles, israel, range, missile, weapon, defense",Israel Missile Defense (Iron Dome/Arrow),3,"iran, israel, strikes, attack, bahrain, qatar, tehran, kuwait, uae, launched",Iran-Israel Tensions & Regional Escalation
A264,https://pbs.twimg.com/media/HAIhMlQa0AAgnrs.jpg,"The last time I was so apposed to a divisive Govt decision that I joined a massive protest was against Howards Iraq war blunder. On February 9th 23 yrs later, I will march in Melbourne, protesting the Govts divisive visit of Israeli President Isaac Herzog. I am 83 yrs young.",16,"israel, iran, اسرائیل, war, stand, ایران, ہیں, poll, people, mercy",Public Opinion Polls: Iran-Israel Conflict,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
A265,https://pbs.twimg.com/media/HAGmycEW4AAauzr.jpg,"damn thats the lowest amount of min played ever, guess im about to vanish from everywhere soon",0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran,36,"jamming, gps, spoofing, interference, map, magic, eastern, anomaly, hack, new",GPS Jamming & Spoofing Anomalies
A292,https://pbs.twimg.com/media/HAJ3RMrW8AA0bYu.jpg,"Iran has summoned all European Union ambassadors in Tehran to protest against the blocs decision to designate the Islamic Revolutionary Guard Corps IRGC as a terrorist organisation, a move that has further escalated tensions amid fears of a wider Middle East conflict.",35,"carrier, french, mediterranean, group, eastern, france, aircraft, baltic, strike, macron",French Naval Presence & Eastern Mediterranean,28,"saudi, arabia, condemns, attack, prince, qatar, kuwait, strongly, crown, foreign",GCC Condemnations & Saudi Foreign Policy
A299,https://pbs.twimg.com/media/HBxLpSoXgAAYDId.jpg,Self avowed rapist wants to continue the war on terror which resulted in countless indigenous women and girls to the Middle east to be raped and brutalized by American Canadian and United Kingdom soldiers.,1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War,37,"afghan, taliban, pakistan, afghanistan, میں, pakistani, nur, airstrikes, khan, اور",Afghanistan & Taliban-Pakistan Relations
A304,https://pbs.twimg.com/media/HB50z26XsAINpot.jpg,every middle east war was FOR lsraeI Anyone with a brain would know who the biggest contributor was to triggering these wars and doing lsraeI the biggest favour,25,"world, war, places, capitalism, cause, worst, military, united, mentions, predicted",Global War Theories & Anti-Capitalism & Ideological Discourse,15,"united, jordan, yemen, bahrain, kuwait, qatar, conflict, war, arab, arabia","  Arab State Alliances & Regional Geopolitics   (Jordan, Yemen, Gulf)"
A308,https://pbs.twimg.com/media/HBrpVyVW8AAnnxT.jpg,"This is not a foreign war, but rather a rescue operation for people who could become the United States greatest ally in the Middle East. KingRezaPahlavi IranMassacre",-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise,20,"activists, people, rights, iran, human, protesters, regime, organization, war, cia",Human Rights Advocacy & Iranian Protest Groups
A314,https://pbs.twimg.com/media/HB4aJDZXgAANJsg.jpg,"The UAE has the power to shape the future of the Middle East, not through conflict, but through leadership, education, and unity. Protecting the next generation from extremist ideology is the most important investment any nation can make. The UAE is showing the path forward.",-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise,1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War
A329,https://pbs.twimg.com/media/HBsrw1cWoAAOOjz.jpg,"In todays edition of lets try to like a tweet while Jewish. Oh, look someone who genuinely wants better for Gaza and isnt a nazoh.",16,"israel, iran, اسرائیل, war, stand, ایران, ہیں, poll, people, mercy",Public Opinion Polls: Iran-Israel Conflict,1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War
A330,https://pbs.twimg.com/media/HBrNOjnW8AASZBe.jpg,"PakistanRejectsBoP This is picture of Peace in Gaza, by Israel",1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
A331,https://pbs.twimg.com/media/HBpkDhLbgAA4xWq.jpg,Prabowo kayaknya Gak pernah baca berita sampai dia gak tahu klu gaza ttp dibom oleh israel ditengah gencatan senjata.,1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
A340,https://pbs.twimg.com/media/HBr6SabWYAAZWK_.jpg,USA has absolute no reason to go to war against the Iran Israel is pulling the US in their wars after they committed collective Genocide in Gaza,3,"iran, israel, strikes, attack, bahrain, qatar, tehran, kuwait, uae, launched",Iran-Israel Tensions & Regional Escalation,4,"trump, president, donald, iran, war, military, america, congress, trumps, attack",US Politics & Trump's Stance on Iran
A344,https://pbs.twimg.com/media/HBqxVYQWEAAECaN.jpg,"The ratio between civilians and terrorists killed in the Gaza war is the lowest in the history of wars, which is 11. Genocide",1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War,33,"killed, bombing, service, members, centcom, barracks, american, marine, beirut, marines",US Military Casualties & Beirut Bombing Memorials
A348,https://pbs.twimg.com/media/HBu3mAxW8AAEFSD.jpg,"If you call 5,000 deaths at the height of the Somali civil war genocide, then be consistent and call the 80,000 people massacred by your zionist friends in Gaza genocide as well",1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War,33,"killed, bombing, service, members, centcom, barracks, american, marine, beirut, marines",US Military Casualties & Beirut Bombing Memorials
A350,https://pbs.twimg.com/media/HB1YPnPWwAAYlQD.jpg,Modi thanks the killer of Gazas children.,0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran,1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War
A352,https://pbs.twimg.com/media/HB2TxalWUAAm5pc.jpg,"Tja,nicht jeder feiert Terroristen so wie klein Micha. Die Hamas ist noch an der Macht,solange wird Gaza ausgeräuchert. Punkt",-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise,1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War
A354,https://pbs.twimg.com/media/HBpCRlIXQAA4I4s.jpg,"Only psychopaths want war. He pushed for the Ukraine war and now Gaza, Iran.... Zionist",20,"activists, people, rights, iran, human, protesters, regime, organization, war, cia",Human Rights Advocacy & Iranian Protest Groups,16,"israel, iran, اسرائیل, war, stand, ایران, ہیں, poll, people, mercy",Public Opinion Polls: Iran-Israel Conflict
A372,https://pbs.twimg.com/media/HB6Nw1ZWsAAbXcE.jpg,"והאהוב עלי, אין מלחמת אזרחים בבה סינג סה",25,"world, war, places, capitalism, cause, worst, military, united, mentions, predicted",Global War Theories & Anti-Capitalism & Ideological Discourse,20,"activists, people, rights, iran, human, protesters, regime, organization, war, cia",Human Rights Advocacy & Iranian Protest Groups
A379,https://pbs.twimg.com/media/HB6MuaKW4AAatKU.jpg,خواستم بگم این دوتا توییت فقط. حرفی نیست.,0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran,20,"activists, people, rights, iran, human, protesters, regime, organization, war, cia",Human Rights Advocacy & Iranian Protest Groups
A385,https://pbs.twimg.com/media/HB6Jhr5akAAlQUa.jpg,Done BmxyTKgBjtsCGqknB7EQVmzkT65id3rjU7HQaa16JRge,0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran,16,"israel, iran, اسرائیل, war, stand, ایران, ہیں, poll, people, mercy",Public Opinion Polls: Iran-Israel Conflict
A381,https://pbs.twimg.com/media/HBm3_ERbQAAs84P.jpg,HAQ SE REBELLIONS RebelsCanKissMyButt,0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran,31,"discount, المطار, valid, hotels, app, travel, flights, عبر, promotional, code",Travel Discounts & Flight Apps
A382,https://pbs.twimg.com/media/HBm4Qd0a4AAoU3r.jpg,HAQ SE REBELLIONS RebelsCanKissMyButt,0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran,31,"discount, المطار, valid, hotels, app, travel, flights, عبر, promotional, code",Travel Discounts & Flight Apps
A383,https://pbs.twimg.com/media/HBnCT1WbQAA3hs9.jpg,HAQ SE REBELLIONS RebelsCanKissMyButt,0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran,31,"discount, المطار, valid, hotels, app, travel, flights, عبر, promotional, code",Travel Discounts & Flight Apps
A384,https://pbs.twimg.com/media/HBm306DbEAA-pN5.jpg,HAQ SE REBELLIONS RebelsCanKissMyButt,0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran,31,"discount, المطار, valid, hotels, app, travel, flights, عبر, promotional, code",Travel Discounts & Flight Apps
A386,https://pbs.twimg.com/media/HBm4a_Ta8AAbHeu.jpg,HAQ SE REBELLIONS RebelsCanKissMyButt,0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran,31,"discount, المطار, valid, hotels, app, travel, flights, عبر, promotional, code",Travel Discounts & Flight Apps
A405,https://pbs.twimg.com/media/HB57ry_XwAA74Ku.jpg,Turkey is allowing US AWACS aircraft to operate in its airspace to monitor military targets in Iran and movements along Irans western border. Israel Today,34,"dome, iron, arrow, interceptions, missiles, israel, range, missile, weapon, defense",Israel Missile Defense (Iron Dome/Arrow),11,"drone, port, oman, duqm, tanker, fuel, tanura, drones, ras, near",Maritime Drone Attacks & Port Security
A423,https://pbs.twimg.com/media/HBsyl_vbIAErFML.jpg,Israel has been pushing America for war with Iran for the past 31 years. No war with Iran period.,16,"israel, iran, اسرائیل, war, stand, ایران, ہیں, poll, people, mercy",Public Opinion Polls: Iran-Israel Conflict,3,"iran, israel, strikes, attack, bahrain, qatar, tehran, kuwait, uae, launched",Iran-Israel Tensions & Regional Escalation
A424,https://pbs.twimg.com/media/HBxRHu6W4AAsUf6.jpg,Israel has been pushing America for war with Iran for the past 31 years. SuperPower does not even have its own Brain to think about this. United States of idiots.,16,"israel, iran, اسرائیل, war, stand, ایران, ہیں, poll, people, mercy",Public Opinion Polls: Iran-Israel Conflict,3,"iran, israel, strikes, attack, bahrain, qatar, tehran, kuwait, uae, launched",Iran-Israel Tensions & Regional Escalation
A434,https://pbs.twimg.com/media/HBxT9riWAAANdVT.jpg,این عوعوی سگان شما نیز بگذرد سرنگونی_جمهوری_اسلامی IranRevolution2026 خامنهای_جنایتکار انتقام_جاویدنامان_رامیگیریم KhameneiTerrorist IRGCterrorists,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise,0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran
A435,https://pbs.twimg.com/media/HBzLOLcWoAEo5Dy.jpg,"So Russia banned from sport over a NATO caused war, yet Israel commits genocide, America bombed Iran and Yemen and threatens other countries yet no ban Israel US, EU and UK are war mongers.",-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise,1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War
A445,https://pbs.twimg.com/media/HBpzj-GWIAAxbt8.jpg,"Every new headline about Israels crimes in the region instantly reminds me of the whole we just want peace with our neighbors amp btw, its not just Syria, they did it in Lebanon, and West Bank and god know where else..",1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War,2,"lebanon, hezbollah, lebanese, israel, israeli, southern, rocket, beirut, northern, haifa",Lebanon Border & Hezbollah Conflict
A446,https://pbs.twimg.com/media/HB37o9IWMAAIP7G.jpg,Cenk is the biggest liar. Gets involved in every debate but has no facts about the issue just yells and screams. Why does Turkey occupy part of Cypress and Syria. Why did 7 countries attacked Israel first,1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
A453,https://pbs.twimg.com/media/HBrb3zZWsAArCTe.jpg,"The war continues but has taken a different form. Syria, a country is now a helpless rabbit, weak and useless.",25,"world, war, places, capitalism, cause, worst, military, united, mentions, predicted",Global War Theories & Anti-Capitalism & Ideological Discourse,2,"lebanon, hezbollah, lebanese, israel, israeli, southern, rocket, beirut, northern, haifa",Lebanon Border & Hezbollah Conflict
A468,https://pbs.twimg.com/media/HBulUuBWMAALlZV.jpg,"Bullshit , The Lebonese Christians will never forget this. They are mortal enemies of Hezbollah amp Hamas .",2,"lebanon, hezbollah, lebanese, israel, israeli, southern, rocket, beirut, northern, haifa",Lebanon Border & Hezbollah Conflict,1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War
A471,https://pbs.twimg.com/media/HBqxUmmXUAA5Xw9.jpg,"Zero likes, zero views, zero impressions, and zero retweets... yet here I am, still posting. Who else is in the trenches with me",0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran,19,"openai, pentagon, anthropic, deal, chatgpt, quitgpt, altman, surveillance, models, deploy",Financial Markets & Stock Trading
B3,https://pbs.twimg.com/media/HCPWdAcbEAgJRCR.jpg,BREAKING The EUs take on the situation in the Middle East. They SUPPORT the illegal terrorist war. The EU is a terrorist organisation.,35,"carrier, french, mediterranean, group, eastern, france, aircraft, baltic, strike, macron",French Naval Presence & Eastern Mediterranean,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
B6,https://pbs.twimg.com/media/HCSt8FWawAAcs51.jpg,"LORD, HAVE MERCY ON US Let us pause for a moment and pray for the safety of the families affected by the conflict in the Middle East.",0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
B22,https://pbs.twimg.com/media/HCSX11UbgAAYbHI.jpg,"At this point any military action in the Middle East at all is viewed as forever war 2.0. I guess its just the public general level of painful ignorance when it comes to military history, but its like every successful conflict in US history disappears the second this comes up",25,"world, war, places, capitalism, cause, worst, military, united, mentions, predicted",Global War Theories & Anti-Capitalism & Ideological Discourse,15,"united, jordan, yemen, bahrain, kuwait, qatar, conflict, war, arab, arabia","  Arab State Alliances & Regional Geopolitics   (Jordan, Yemen, Gulf)"
B26,https://pbs.twimg.com/media/HCUE5oiWIAIHryS.jpg,FreePalestine,31,"discount, المطار, valid, hotels, app, travel, flights, عبر, promotional, code",Travel Discounts & Flight Apps,1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War
B47,https://pbs.twimg.com/media/HCTWVLCaYAAHhwQ.jpg,"STOP KILLING CHILDREN israel usa gaza iran Also, its not a conflict its a genocide",1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War,29,"school, girls, minab, strike, children, سپاه, irgc, schools, پاسداران, killed",Attacks on Schools & IRGC Repression in Iran
B50,https://pbs.twimg.com/media/HCSpRatXkAA60HV.jpg,"The Faces That Shaped the Middle East Conflict 20242026 Leaders. Commanders. Power centers. Their removal changed regional dynamics forever. From Tehran to Gaza to Beirut leadership losses reshaped strategy, resistance amp retaliation. MiddleEast GazaWar Iran Geopolitics",15,"united, jordan, yemen, bahrain, kuwait, qatar, conflict, war, arab, arabia","  Arab State Alliances & Regional Geopolitics   (Jordan, Yemen, Gulf)",-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
B64,https://pbs.twimg.com/media/HCPQW3cWoAAtRBL.jpg,"and Benjamin Netanyahu should be arrested and charged with crimes against humanity, they are responsible for a modern day genocide in Gaza...",1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War,4,"trump, president, donald, iran, war, military, america, congress, trumps, attack",US Politics & Trump's Stance on Iran
B68,https://pbs.twimg.com/media/HCT_ABlW4AEl-ke.jpg,"And what happens after the bombing stops Look at Libya, Syria, Iraq, Afghanistan, Gaza, killing innocent people to feed your ego, youre a disgrace and embarrassment to yourself, the office of President and the USA... Time for the 25th...",-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise,4,"trump, president, donald, iran, war, military, america, congress, trumps, attack",US Politics & Trump's Stance on Iran
B69,https://pbs.twimg.com/media/HCKijH9akAE94zc.jpg,Kijk uit met wat je wenst Bill . Het zou me totaal niet verbazen als we ook een jaarlijkse herdenking krijgen voor de slachtoffers in Gaza. En onze houdt ook wel van een feestje.,20,"activists, people, rights, iran, human, protesters, regime, organization, war, cia",Human Rights Advocacy & Iranian Protest Groups,0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran
B71,https://pbs.twimg.com/media/HCFJGgLWcAAg92A.jpg,Per i coglioni che nn sanno cos è una bomba iper barica. Un atomica senza radiazione israel_war_criminal sionismo freepalestine gaza,34,"dome, iron, arrow, interceptions, missiles, israel, range, missile, weapon, defense",Israel Missile Defense (Iron Dome/Arrow),1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War
